BCI-AV#	Blissymbol	English	Char	Char	5350	1497	212	34	4	1
16187		pipe,hose,tube_(1)	Y							
16188		pit,stone	Y							
16189		pit,stone		17448	16188	8993				
16190		pita	Y							
16191		pitcher,jug,kettle,pot	Y							
16192		pizza		14377	25594					
16193		place,area,location,space	Y	13901	26059					
16194		plan,design,method,system	Y	15471	15420					
16195		plan,design		16194	8993					
16196		plant	Y							
16197		plastic		13158	15671	16940				
16198		stop,platform_(vehicle)_(OLD)	Y	24214	13901	18010				
16199		play,recreation		12335	14676					
16200		play		16200	8993					
16201		play_football		14380	8993					
16202		playground		16193	16200					
16203		playroom,family_room,recreation_room		16687	16200					
16204		please		21335	14164					
16205		pliers,tongs,tweezer(s),pincer(s)_(pair_of)	Y							
16206		plough	Y	15159	13901					
16207		plug		14952	13918	9009				
16208		plum,drupe	Y	14405	16188					
16209		pocket		13403	13366					
16210		poem		15962	16211					
16211		poetry		25585	14164					
16212		point,tip,peak	Y	15159	26059					
16213		point,indicate		27113	8993					
16214		point_of_view		15471	16224					
16215		poison		13158	13645					
16216		polenta		14377	13415					
16217		police_officer,policeman,policewoman		16161	16420					
16218		pollution		18043	13942					
16219		pool	Y	24120	18209					
16220		poor_(little_money)		15474	15484	8998				
16221		popcorn		13413	15139					
16222		porcupine_(OLD)		14699	17517					
16223		pork,ham		14377	16175					
16224		position	Y	16480	13867					
16225		positive		12374	14947					
16226		maybe,perhaps,possibly		15436	8997					
16227		postcard	Y	13934						
16228		post_office		14905	15198					
16229		pot,pan	Y							
16230		potato		18005	18242					
16231		potato_chips,crisps_(OLD)		16230	13685	9011				
16232		pound_sterling	Y							
16233		powder,dust	Y							
16234		power_(physics)	Y	12334	13922					
16235		practise,practice,drill,exercise,rehearse		18274	24934	8993				
16236		pray		16237	8993					
16237		prayer		16728	17739	14451				
16238		prayer_book,Siddur		12875	16237					
16239		preceding_(OLD)		15927	15714	8998				
16240		pregnancy		13395	18269					
16241		pregnant		16240	8998					
16242		pregnant_(ckb)		12656	12843	8998				
16243		premature_birth		12843	13896					
16244		prepare,set,set_up,ready,gear_up,fix		24929	8993					
16245		prepare_food,cook		22909	8993					
16246		present	Y	15975	14417					
16247		pretend,make_believe		24895	8993					
16250		prison,jail		14905	18257					
16251		private		13364		8998				
16252		probable,likely,probably		13868	12374	8997				
16253		problem		16445	13676					
16254		projector	Y	13111	14390					
16417		promise,pledge		24930	8993					
16418		prostitution		16931	15484					
16419		protect,cover,shelter,take_care_of		16420	8993					
16420		protection,shelter	Y							
16421		protest,object,oppose		16728	12351	8993				
16422		proud		14164	15948	8998				
16423		province,county,region,state		15972	13423					
16424		prune_(OLD)		16208	13888					
16425		puberty		12601	16933					
16426		pubic_hair	Y	14660	12870					
16427		public_(of_the_public)		16429	8998					
16428		public_(not_private)		15921		8998				
16429		public_(the_public)		15671	15671	16161				
16430		public_room	Y	13901						
16431		pull,drag,tow,tug		25599	8993					
16432		puncture,prick		8486	8993					
16433		puppet		13862	14667					
16434		puppy		12380	12603					
16435		Purim		14884						
16436		purple,violet_(bci)		13377	15666	17006				
16437		purpose	Y	16480	16480					
16438		purse,pocketbook,wallet		13403	15484	16161				
16439		push,shove		24825	8993					
16440		put,locate,place		16193	8993					
16441		jigsaw_puzzle		16172	15972					
16442		pyjama(s),nightgown,nightie,pajama(s)		13366	17008					
16443		pyramid	Y							
16445		question	Y		15921					
16446		quick,fast,quickly,rapid,rapidly		24819	8998					
16447		quiet,quietly		15474	15397	8998				
16448		rabbit,hare		12386	13894					
16449		rabies		16164	12378	8487	27011			
16450		raccoon		12378	25582					
16451		race,competition,contest	Y	14390	14390					
16452		racket,racquet	Y							
16453		radio_(1)		13934	13894	13918				
16454		radish		17958	14901					
16455		rain	Y	18209	13869					
16456		rain		16456	8993					
16457		raincoat		13366	16456					
16458		rainy		16456	8998					
16459		raise,grow,bring_up,cultivate		13135	14649	8993				
16460		raisins_(OLD)		14635	13888					
16461		rake		13379	14422					
16462		rape		12327	16931					
16463		raspberry,blackberry,compound_berry	Y							
16464		raw,uncooked		15474	13408	8998				
16465		read		24933	8993					
16466		ready,prepared		16244	8996					
16467		real,really		14114	8998					
16468		recent,recently		15975	15697	8998				
16469		recipe		15962	16245					
16470		CD,record		25601	13894					
16471		CD_player,record_player,stereo		15406	16470					
16472		rectangle,oblong_(shape)		16940						
16473		rectangular,oblong		16472	8998					
16474		red_(bci)		13377	15666					
16475		red_(ckb)		13377	8497					
16476		refrigerator_(OLD)		13622	14919	13918				
16477		regret		17214	8993					
16478		reindeer,caribou		12381	15730					
16479		less_than_(relation)	Y							
16480		greater_than_(relation)	Y							
16481		relative,relation	Y	16420	16161	16420				
16482		who,that,which-(relative)	Y							
16483		religion,naturalism_(OLD)		14164	13607					
16484		religious_(OLD)		16483	8998					
16485		remember_(OLD)		15927	14387	8993				
16486		remembrance_day		13639	23634					
16487		repeat,copy,duplicate,reproduce		24934	8993					
16488		reproduction		13395	13135	12603				
16489		request		12588	16204	8993				
16490		resent		14164	12351	8993				
16491		resident		16161	14905					
16492		residential_institution,group_home,hostel,residential_home		14905	15671	16161				
16493		resource_centre		14905	14382	14118	15162			
16494		respect,admiration		14164	12324	16161	15948			
16495		rest,comfort	Y	14164	13901					
16496		rest		16496	8993					
16497		rest_period,break		15212	16496					
16498		restaurant,cafeteria		16430	13906					
16499		return	Y	15214	12613					
16500		return,come_back,reverse		16499	8993					
16501		rhinoceros	Y	12378						
16502		rhyme		16986	13935					
16503		rhythm_method		12844	15649					
16504		ribbon,tape		15216	13365	9009				
16505		rice	Y	14625	25777					
16506		rich_(taste)		17506	14947	8998				
16507		rich,wealthy		15671	15484	8998				
16508		rickshaw		13127	16161					
16509		ride		25603	8993					
16510		rifle,shotgun		13120	15229					
16673		right		25604	8998					
16674		angle_(right),right_angle	Y							
16675		ring	Y							
16676		rise,ascend,go_up		17983	8993					
16677		river,stream,current	Y	25777	14390					
16678		road_(1)	Y	26061	26059					
16679		roadrunner_(bird)		12837	18031	15221				
16680		rocket,spaceship		25614	17983					
16681		rocking_chair		13148	17267					
16682		rocking_horse_(OLD)		14897	17267					
16683		roll,bun	Y	12895						
16684		roller_skate		16685	8993					
16685		roller_skates	Y	15189	18232	18232				
16686		roof,cover	Y	16420	9009					
16687		room	Y	13934						
16688		root(s),rootage,root_system	Y	13901						
16689		Rosh_Hashana		13639	14895	14972				
16690		rotate,circle,circulate,wind_up,orbit		24249	8993					
16691		roti,chapati,flatbread		17741	13685					
16692		rouge,blusher		13377	12374	13156				
16693		round,circular		16690	8998					
16695		rub,massage		14667	12610	14947	8993			
16696		rug,carpet,mat		13365	14203					
16697		rule,regulation		15962	15181					
16698		ruler,measuring_stick,tapeline,tape_measure	Y	15443	9009					
16699		run,jog		18031	21323	8993				
16700		Sabbath,day_of_rest		13639	16496					
16701		sack,bag	Y							
16702		sad,sadly,unhappily,unhappy		16703	8998					
16703		sadness,sorrow,unhappiness		14164	13869					
16704		safe,safely,secure,securely		16705	8998					
16705		safety,security		14164	16420					
16706		sail_(OLD)	Y							
16707		sailboat_(OLD)	Y							
16708		sailor		16161	12869					
16709		salad	Y	15200						
16710		saliva,spit		18209	15666					
16711		salt_crystal		13619	15909					
16712		salty_(OLD)		17506	15909	8998				
16713		same,equal,equality	Y							
16714		same_sound		16713	17216					
16715		sand		16233	17267					
16716		sandal(s)		16959	8487	15921				
16717		sandbox,sandpit,sandtray		24120	16715		16715			
16718		sandwich		14377	12669	12895				
16719		sanitary_napkin,sanitary_towel,tampon		12325	18269					
16720		sari		13366	12580	18269				
16721		satisfaction,contentment		15471	14413					
16722		Saturday_(OLD)		13639	8503					
16723		sauce,gravy,relish,dressing_(OLD)		17238	18209					
16724		sauerkraut		13101	16944					
16725		sauna		17257	17267					
16726		sausage,frankfurter,hotdog,hot_dog		15444	15229					
16727		saw	Y							
16728		say,speak,talk,tell,express		15666	8993					
16729		scales		15406	18220					
16730		scarf		13366						
16731		scenery,landscape		14430	13424					
16732		schach		16686	17775	9009	9011			
16733		schedule,timetable		15962	17732					
16734		school		14905	17512					
16735		science,body_of_learning	Y	15471	13424					
16736		scissors	Y							
16737		score		15742	16451					
16738		scorpion		17229	16432					
16739		screw	Y	15214		15214				
16740		screwdriver		17755	16739					
16741		scrotum		16420	17529					
16742		search		18045	14947	8993				
16743		second_(time)		17732						
16744		second_(ordinal)		8498	8486	8998				
16745		secret	Y	13934	15666					
16746		secretary		16161	16745					
16747		see,look,watch		14133	8993					
16748		see_you_again		15449	12350	8993				
16749		seed	Y	13901						
16750		seem		25379	18229	8993		16226	8993	
16751		seesaw,teeter-totter,teeter_board	Y							
16752		self,oneself,ego_(person)		8497	16161					
16753		self-harm		12327	16752					
16754		self-control		23137	16752					
16755		selfish,self-centred,self-centered,egoistic,egoistical,egocentric		24937	8998					
16756		sell		17717	15484	8993				
16757		semen		18209	17226					
16758		seminal_vesicle		13403	16757					
16759		send		13125	13658	8993				
16760		sentence,clause,phrase		14647	18272					
16761		September		15649	8505					
16762		several		16480	8498					
16763		sew		15703	8993					
16764		sewing_machine		15406	16763					
16765		sex_drive,sexual_urge,libido		14183	14428					
16766		sexual_abuse,sexual_assault,sexual_violence		12327	14428					
16929		sexual_arousal,sexual_excitement		23869	14428					
16930		sexual_harassment		14677	14428					
16931		sexual_intercourse,intercourse,copulation		13381	14428					
16932		sexual_pleasure		14675	14428					
16933		sexuality		14164	14428					
16934		shake,jiggle		20524	8993					
16935		shallow		25606	8998					
16936		greeting,shalom,salam_(etc)		15666	25584					
16937		shame		16702	12615					
16938		shampoo		17200	14660					
16939		shamrock,clover	Y							
16940		shape,form		14133	17717					
16941		share		14685	17746	8993				
16942		shark		14190	17517					
16943		sharp_(knife)		15159	8998					
16944		sharp_(taste),acid,sour		17506		8998				
16945		shave_(beard)		17213	12644	8993				
16946		shaver,razor		15159	12644					
16947		shaving_soap,shaving_cream		17200	12644					
16948		Shavuot		13639	13388					
16949		she,her,herself		14165	8499					
16950		sheep		12379	13365					
16951		sheet(s),bedclothes,bed_linen		13365	12649					
16952		shekel		15484						
16953		shelf	Y							
16954		shell,crust	Y	25532	26059					
16955		shelter,refuge		16687	16420					
16956		shine,beam		17462	8993					
16957		shirt,blouse		13366	13161					
16958		Shiva		14451	24883					
16959		shoe		16420	14379					
16960		shofar		14895	14972					
16961		shopping_centre_(OLD)		15671	16430					
16962		short		24938	8998					
16963		shorts		15961	8487	16962				
16964		shoulder	Y	12870	26059					
16965		shout		16728		8993				
16966		shovel,spade	Y							
16967		show,demonstrate		13135	15908	8993				
16968		shower	Y	16687	18209	13869				
16969		shower		16968	8993					
16970		exhibition_hall,showplace		14905	15449					
16971		Shevat,Shvat		15649	12843	17775	9011			
16972		sibling(s)		15912	8498					
16973		sick,ill		16164	8998					
16974		side_(body)	Y	12870	26059					
16975		side_(enclosure)	Y	13934	26059					
16976		sieve,colander,strainer	Y	13403	13869					
16977		sign,advertisement		13934	12594					
16978		sign_(OLD)		8486	17717					
16979		signature		18285	15691					
16980		signature_stamp		17755	16979					
16981		silence,quiet		15474	17216					
16982		silent		16981	8998					
16983		Simchat_Torah		14884	17760					
16984		similar,like,alike		15697	16713					
16985		similar_looking,looks_similar		16984	14133					
16986		similar_sound,sounds_like		16984	17216					
16987		simmer,poach		13408	18209	8993				
16988		sin		12615	14451					
16989		sin		16988	8993					
16990		sing		17210	8993					
16991		singer		16161	16990					
16992		bath,washing	Y	13403	18209					
16993		sinner		16161	16988					
16994		sister		13638	8498					
16995		sit		16165	8993					
16996		Sivan		15649	13388					
16997		skateboard	Y	18010						
16998		skeleton		17445	13609	9009				
16999		ski_boot(s)		12876	25610					
17000		ski_pole(s)		8498	15216	25610	9009			
17001		skin		16420	12870					
17002		skirt		13366	25636					
17003		skis_(pair_of)		8498	25610					
17004		skullcap,kipa,yarmulke		14682	14972					
17005		skunk		12378	17020					
17006		sky	Y							
17007		sled,sledge,sleigh,toboggan	Y	17717	25610					
17008		sleep	Y	14133	13364					
17009		sleep		17008	8993					
17010		sleeping_bag		16701	17008					
17011		slide	Y	13871	9009					
17012		slip,petticoat,half-slip,underskirt		13876	17969					
17013		slipper(s)		16959	14905					
17014		slow,slowly_(OLD)		15927	21323	8998				
17015		smart,bright,clever,intelligent		22917	8998					
17016		smash,grind,shatter,splinter		12896	15671	15972	8993			
17017		smell,odour	Y	15732	13901					
17018		smell		15732	8993					
17019		smell,give_off_odour		17018	8993					
17020		smell_bad,stink		17018	15733	8993				
17021		smile,grin		14676	14138	8993				
17022		smoke		13367	14183					
17185		smoke		25611	8993					
17186		smooth		14667	14442	8998				
17187		snack_(food)		15438	8487	15221				
17188		snail	Y							
17189		snake	Y							
17190		water_snake	Y	17189	18209					
17191		sneeze		15732		14947	8993			
17192		snow	Y	18209	13869					
17193		snow		17193	8993					
17194		snowball		17193	12621					
17195		snowflake	Y	17193	26059					
17196		snowman		17193	15416					
17197		snowshoe_(OLD)		25613	15189	17193				
17198		snowstorm		23956	17193					
17199		snowsuit,winter_clothing		13366	17193					
17200		soap,detergent		17717	18038					
17201		social_worker		18277	14704	16161				
17202		soda_pop,pop,soft_drink		13882	14424					
17203		soft		14667	25575	8998				
17204		soldier,warrior		16161	18036					
17205		solid_thing	Y	17717	17717					
17206		solve		12393	13676	8993				
17207		some,any		15972	8998					
17208		sometimes		15972	17732					
17209		son	Y	16420	15414					
17210		song		15666	15682					
17211		songbird,finch,thrush		12837	17210					
17212		soon		14417	15697	8998				
17213		wound,cut,sore		12896	17001					
17214		sorry		16703	12324	15975				
17215		sufganiya		13685	13153					
17216		sound	Y	13894	13901					
17217		sound		17216	8993					
17218		soup,broth	Y	13690	18209					
17219		south	Y	17462	26059					
17220		southern		17219	8998					
17221		space,dimension	Y							
17222		spaghetti_(OLD)		14377	14204	15216	9009			
17223		special,particular		14164	14948	8998				
17224		specific		17700	8998					
17225		speech_impaired_(OLD)		15213	16728	8998		15728		
17226		sperm	Y							
17227		spermicide		13158	25615					
17228		spice_box		13403	14198					
17229		spider	Y							
17230		spiral,curl_(shape)		16940	25616					
17231		spit		25617	8993					
17232		splash		14717	18209	8993				
17233		spoon	Y							
17234		sport_(OLD)		12335	14691					
17235		sport_stick	Y							
17236		spot,mark		14133	13867					
17237		spouse,cohabitant,partner	Y	16161	16420					
17238		spread,paste	Y	14377						
17239		spread_(cover_with_spread)		17238	8993					
17240		spring_(ckb)		17462	8497					
17241		spring		17462	8497	14205	17983			
17242		square_(shape)		16940						
17243		square_(description)		17242	8998					
17244		squash,pumpkin	Y	18004						
17245		squirrel		25521	17517					
17246		staff		14646	14705					
17247		stairs,steps	Y							
17248		stamp	Y							
17249		stand		16166	8993					
17250		stander		17469	15446	17249	9009			
17251		star_of_David	Y							
17252		star	Y							
17253		starfish_(OLD)		14190	17252					
17254		stay,remain		15474	12343	8993				
17255		steam	Y	18209	17983					
17256		steam		17256	8993					
17257		steam_bath	Y	16687	17256					
17258		steel		13365	15159					
17259		stem,stalk	Y	14205	26059					
17260		stepfather	Y	14914	15662					
17261		stepmother	Y	18251	14157					
17262		sterilization		13135	14939					
17263		stick,log		15216	17775	9009				
17264		stocking(s),sock(s),pantyhose,tights		13366	25578					
17265		stomach,abdomen,belly	Y	12870	26059					
17266		stone_(material)		13365	16188					
17267		stone,rock	Y	15663						
17268		stop,arrive,end		13935	8993					
17269		store_(OLD)		16430	13093					
17270		storeroom		16687	14882					
17271		gale		15671	18255					
17272		story,report,tale		15962	15666					
17273		stove,furnace,heater,oven	Y	14183	13934					
17274		strange		14164		8998				
17275		stranger		16161	17274					
17276		strap,string,velcro,rope,cord		15216	14154	9009				
17277		straw,drinking_straw		15216	13882	9009				
17278		strawberry	Y	12666						
17441		street	Y	26063	26059					
17442		string_bean,green_bean,runner_bean,wax_bean		12642	15229					
17443		stroke		14667	12610	8993				
17444		strong,powerful		24941	8998					
17445		structure,construction	Y	13934						
17446		student,pupil		16161	15184					
17447		stupid,dumb_(OLD)		15927	17015	8998				
17448		subtract,remove,take_away		17449	8993					
17449		subtraction,loss	Y							
17450		succeed		17451	8993					
17451		success	Y	25589	14390					
17452		suddenly,abrupt,sudden		17732	15209	8998				
17453		sugar,sweetener		24003	24946	9009				
17454		suggest,propose		17455	8993					
17455		suggestion,proposal		15925	16437					
17456		suit		13366	8498	15972				
17457		sukkah		14905	16686	17775	9009	9011		
17458		Sukkot		18217	16686	17775	9009	9011		
17459		summer_(ckb)		17462	8498					
17460		summer		17462	8498	14901				
17461		summer_day_camp		14427	13639	17460				
17462		sun	Y							
17463		sunscreen,sunblock,sun_lotion		13158	12351	17462				
17464		Sunday_(OLD)		13639	8497					
17465		sunny		17462	8998					
17466		sunrise		15656	17983					
17467		sunset		15656	13869					
17468		supper,dinner		15438	8499					
17469		support		14704		15484	8993			
17470		surprise_(OLD)		14164		8993				
17471		swallow		13869	13881	8993				
17472		swamp,bog,marsh	Y	25777	13901					
17473		swan	Y	23706						
17474		sweat,perspire		17475	8993					
17475		sweat,perspiration		18209	17001					
17477		sweet_(metaphor)		15460	17479	8998				
17478		sweet_(taste)		24946	8998					
17479		sweet,confection		14377	17479					
17480		sweet_potato,yam		18005	17479					
17481		sweetheart,lover		16161	15400					
17482		swim		24947	8993					
17483		swimming_pool		16219	24947					
17484		swimsuit,swimwear,bathing_suit		13366	8487	17482				
17485		swing	Y	25406	9009					
17486		swing,sway,rock		25406	8993					
17487		handle,switch		17717	14667					
17488		switch		17487	8993					
17489		symbol_display,symbol_board,symbol_chart		15962	12374	12857				
17490		synagogue		14905	13388					
17491		syringe	Y	14941	9009					
17492		table_game		16200	17493					
17493		table	Y							
17494		tablecloth		13365	17493					
17495		tahini,sesame_seed_spread		17238	16749	18242				
17496		tail	Y	12380	26059					
17497		take,bring,carry,move		24714	8993					
17498		take_away,remove		14667	17448	8993				
17499		takeoff,take-off,airplane_take-off		12357	17987					
17500		talcum_powder		16233	12870					
17501		tallith		13366	8487	16236	14972			
17502		Tammuz		15649	17460					
17503		tangerine,clementine,mandarin		15933	15221					
17504		tank	Y	13089	13120					
17505		sound_recorder,tape_recorder		15406	16487	13894				
17506		taste	Y	15732	15666					
17507		taste		17506	8993					
17509		taxi,cab		13121	15212					
17510		taxi_driver,cab_driver		16161	17509					
17511		tea		13882	15183					
17512		teach,instruct		14440	15162	8993				
17513		teacher,instructor		16161	17512					
17514		team		14646	18274	17746				
17515		tease		12334	17985	8993				
17516		teenager,adolescent,youth	Y	13166						
17517		teeth	Y							
17518		telephone,call		15172	13918					
17519		television		13934	14133	13894	13918			
17520		temperature	Y	24806	8486					
17521		ten_o'clock_eating_break		14377	17732					
17522		tennis_(activity)_(OLD)		12335						
17523		tent		14905	13365					
17524		termite,wood_destroying_insect		14943	25626					
17525		terrified		24831	8998					
17526		terrorist		16161	24820					
17527		terrorize		24820	8993					
17528		test,assessment,exam		16445	14382	13949				
17529		testicle		13403	17226					
17530		Tevet		15649						
17531		tefillin		8498	12886	15972	17760			
17532		thank		17533	8993					
17533		thanks,thank_you		14164	14440					
17534		thanksgiving		13639	17533					
17697		that_(there)	Y	13867	17700					
17698		too_bad,I'm_sorry,I'm_so_sorry		16702	12324					
17699		thaw,melt		25621	8993					
17700		the	Y							
17701		their,theirs-(persons)		17712	12663	9011				
17702		their,theirs-(indefinite)		14962	9011					
17703		their,theirs-(feminine_plural)		14165	8499	12663	9011			
17704		their,theirs-(masculine_plural)		15414	8499	12663	9011			
17705		then,so,later	Y	14417						
17706		therapist_(OLD)		21589	14390	16161				
17707		there	Y		13100					
17708		therefore,so,so_that	Y	13135						
17709		thermometer	Y	17520	9009					
17710		thermos,cooler,flask		13403	16713	17520				
17711		these		17720	9011					
17712		they,them,themselves-(indefinite)		14960	9011					
17713		they,them,themselves-(persons)		16161	8499	9011				
17714		they,them,themselves-(feminine_plural)		14165	8499	9011				
17715		they,them,themselves-(masculine_plural)		15414	8499	9011				
17716		thin,slim,narrow		25622	8998					
17717		thing,object	Y							
17718		think,reason		15471	8993					
17719		thirsty		14164	15474	13882	8998			
17720		this	Y	17700	13867					
17721		this_week		18217	15736					
17722		this_year		18289	15736					
17723		those		16482	9011					
17724		through	Y	14390	15214					
17725		throw		14667	14440	14947	8993			
17726		thumb	Y	14667	26059					
17727		thunder		13894	15209					
17728		Thursday_(OLD)		13639	8501					
17729		ticket,pass		15962	13940					
17730		tie,necktie		15216		9009				
17731		tiger		12383	15214					
17732		time	Y							
17733		tiptoe		17745	8993					
17734		tire,tyre	Y	18232	26059					
17735		tired,exhausted,weary_(OLD)		16496	15702	8996				
17736		Tisha_B'Av		13639	24966					
17737		Tishri		15649	16960					
17738		tissue		15962	15732					
17739		to,toward,towards	Y	26059	15214					
17740		toast		25530	14183					
17741		toast		14183	25530	8993				
17742		toaster		15406	17741					
17743		tobacco		15183	17022					
17744		today		13639	15736					
17745		toe	Y	15189	26059					
17746		together,attached,appended,fastened,joined		23409	8998					
17747		toilet	Y	13148	25777					
17748		toilet_paper		15962	17747					
17749		tomato		18004	16474					
17750		tomorrow		13639						
17751		tomorrow_night		15719						
17752		tongue		15972	15666	20524				
17753		tonight		15719	15736					
17754		too_much,too_many		15948		8998				
17755		tool,instrument	Y	17717	14667					
17756		toothbrush		12913	17517					
17757		toothpaste		13158	12913	17517				
17758		top	Y	13934	26059					
17759		dreidel_top	Y							
17760		Torah	Y							
17761		touch,feel		14667	8993					
17762		towel_(OLD)		13365	13888					
17763		toy		17717	16200					
17764		toy_animal,stuffed_animal		12378	15420					
17765		tractor	Y	13121						
17766		traffic		15671	13121					
17767		train		15671	18010					
17768		trampoline		24214	15139					
17769		translate		12902	15172	8993				
17770		transvestite_(female)		18269	13876	15416				
17771		transvestite_(male)		15416	13876	18269				
17772		travel		17779	8993					
17773		tray	Y							
17774		treat		17717	17223					
17775		tree	Y							
17776		triangle		16940						
17777		triangular		17776	8998					
17778		tricycle		8499	18232					
17779		trip,journey,travel,voyage	Y	18232	13901					
17780		trouble		14164	25589					
17781		truck,lorry	Y	25625	13121					
17782		true,truly,truthful,truthfully		17786	8998					
17783		trunk,tree_trunk,bole	Y	17775	26059					
17784		trust		17784	8993					
17785		trust,confidence		14164	24049					
17786		truth	Y	15471	25574					
17787		try,attempt		26126	8993					
17788		Tu_Bishvat		13639	12843	17775	9011			
17789		tubal_ligation		15924	14143					
17790		Tuesday_(OLD)		13639	8499					
17953		tune,melody		16194	15682					
17954		turkey_(bird)		12837	14377	12835				
17955		turkey_(food)		14377	12837	12835				
17956		turn,play		17732	12335					
17957		turn		25627	8993					
17958		turnip,rutabaga,vegetable_(large-leafed)	Y	18005	15183					
17959		turtle,tortoise	Y	12378						
17960		twinkle,shine,sparkle		17252	8993					
17961		type,kind,sort,category	Y	15471	13857					
17962		printer,typewriter		15406	18285					
17963		ugh,yuk-(exclamatory)		16728	12615	8998				
17964		ugly,unattractive		14133	16702	8998				
17965		umbilical_cord		24296	14170					
17966		umbrella	Y	16420						
17967		uncle	Y	12909	15968					
17968		uncomfortable		13687	8998					
17969		under,below,inferior	Y		13867					
17970		bomb_shelter		16419	17969					
17971		underpants,briefs,panties		15961	17969					
17972		undershirt		16957	17969					
17973		understand,see		25629	8993					
17974		underwear,underclothes		13366	17969					
17975		unemployment		15474	18274					
17976		unfold_(OLD)		15927	14375	8993				
17977		unidentified_object_(suspected_explosive)		24101	16226					
17978		unit,example,sample,for_example,e.g.	Y	8497	9009					
17979		United_Kingdom		13423	25631					
17980		university		14905	14118	15162				
17981		unless,except_(conjunction)		13094	15929					
17982		until,till,to	Y	26059	15214					
17983		up,upward	Y	21852						
17984		up_and_down_(OLD)		17983	13869					
17985		upset		24822	8998					
17986		upward_and_backward	Y							
17987		upward_and_forward	Y							
17988		urethra		24296	17990					
17989		urinate,make_water,pass_water,micturate,pee,piddle,piss,wee		17990	8993					
17990		urine,piss,pee,piddle,weewee,water		18043	14431					
17991		use		24847	8993					
17992		usually,usual		15661	17732	8998				
17993		utensil		17755	14377					
17994		uterus,womb	Y	12870	14166					
17995		vacation,holiday		17975	14676					
17996		vagina	Y	17994	26059					
17997		Valentine_(card)		15962	15400					
17998		Valentine's_Day		13639	15400					
17999		valley	Y	26057	26059					
18000		van,minibus		13089	15221					
18001		vas_deferens		24296	17226					
18002		vasectomy		15924	18001					
18003		veal		14377						
18004		vegetable_(above_ground)	Y	13901	14405					
18005		vegetable_(below_ground)	Y	13901	14405					
18006		onion,vegetable_(bulb)	Y	18005	15920					
18007		vegetable_(oval-shaped)	Y	18004	23599					
18010		vehicle,carriage,railway_car	Y	18232	18232					
18011		video_recorder		15406	16487	14133	13894			
18012		village		14647	14905					
18013		vinegar		14198	16944	9009				
18014		purple,violet_(ckb)		13377	8503					
18015		virginity		15474	16931	15975				
18016		Vishnu		14451	16420					
18017		visit		24859	8993					
18018		visitor,guest		16161	24859					
18019		visually_impaired_(OLD)		15213	15449	8998				
18020		volcano		15663	14183					
18021		volunteer		14706	14395					
18022		vomit,throw_up,puke		24950	8993					
18023		voyeurism		18045	14428					
18024		vulture		12837	13645					
18025		vulva		16420	17996					
18026		wading_pool,paddling_pool		16219	13166					
18027		wage(s),pay,salary		15484	14381	18274				
18028		wagon,cart,truck	Y	18010						
18029		waist	Y	12870	26059					
18030		wait		24832	8993					
18031		walk,go		15189	8993					
18032		walker,walking_aid_(2)		12355	15446	18031	9009			
18033		wall	Y	16687	26059					
18034		wand	Y	15214	17252					
18035		want,desire		24834	8993					
18036		war	Y	15159						
18037		warm		14901	15221	8998				
18038		wash,bathe,bath		16992	8993					
18039		washable		16992	8997					
18040		washcloth,washrag,flannel		13365	18038					
18041		washer		15406	18038					
18042		washing_machine,washer		15406	18038	13366				
18043		waste,garbage,rubbish,trash	Y	17717	13665					
18044		watch,wristwatch		13363	14667	9009				
18045		watch		24949	14947	8993				
18046		watchful,alert		24949	8998					
18209		water,fluid,liquid	Y							
18210		we,us,ourselves-(feminine)		14165	8497	9011				
18211		we,us,ourselves-(masculine)		15414	8497	9011				
18212		we,us,ourselves		16161	8497	9011				
18213		weak		16167	8998					
18214		weather	Y	17462	16456					
18215		weave		15410	13365	8993				
18216		Wednesday_(OLD)		13639	8500					
18217		week		8503	13639					
18218		weekend_(6-7)		13639	8502	25596	8503			
18219		weekend_(7-1)		13639	8503	25596	8497			
18220		weigh		18221	8993					
18221		weight	Y							
18222		weight_(a)	Y	18221	9009					
18223		welcome		14164	18018					
18224		west	Y	17462	26059					
18225		western		18224	8998					
18226		wet,damp,moist,watery		18209	8998					
18227		whale		13864	12835					
18228		what		16482	17717					
18229		what,question_mark_(small)	Y	8485						
18230		what_kind-(question)			23698					
18231		what_(thing)-(question)			17717					
18232		wheel	Y							
18233		wheelchair	Y	13148	18232					
18234		when		16482	17732					
18235		when,what_time-(question)			17732					
18236		where	Y	16482	13901					
18237		where-(question)	Y		13901					
18238		which,that-(relative)		16482	15972					
18239		which-(question)			15972					
18240		whisper		16728	16447	8993				
18241		whistle		16990	17517	8993				
18242		white		13377	17193					
18244		who,whom-(question)			16161					
18245		who,whom,that-(relative)		16482	16161					
18246		whose_(neutral)		16482	12663					
18247		whose_(person)		18245	12663					
18248		whose-(question)		18244	12663					
18249		why-(question)			13135					
18250		wide,broad		25634	8998					
18251		wife	Y	16420	18269					
18252		wiggle,squirm		18279	8993					
18253		wiggly		18279	8998					
18254		win		16451	12338	8993				
18255		wind	Y	12356	14390					
18256		window	Y	13934						
18257		barred_window	Y	13934						
18258		wine		12359	14635					
18259		wing(s)	Y							
18260		wink,blink		14136	8993					
18261		winter_(ckb)		17462	8500					
18262		winter_(snow)		17462	8500	17193				
18263		winter_(rain)		17462	8500	16456				
18264		wipe,dust,polish		13365	12610	8993				
